-107,39, MXCOHRTS ,2393,-111,1,1, WEST
-107,40, MXCOHRTS ,2359,-111,1,1, WEST
-107,40.5, MXCOHRTS ,2341,-111,1,1, WEST
-107,45, MXCOHRTS ,2176,-111,1,1, WEST
-107,45.5, MXCOHRTS ,2157,-111,1,1, WEST
-107,46, MXCOHRTS ,2137,-111,1,1, WEST
-106.5,36.5, MXCOHRTS ,2476,-111,1,1, WEST
-106.5,38, MXCOHRTS ,2427,-111,1,1, WEST
-106.5,39.5, MXCOHRTS ,2376,-111,1,1, WEST
-106.5,40, MXCOHRTS ,2359,-111,1,1, WEST
-106.5,41, MXCOHRTS ,2324,-111,1,1, WEST
-106.5,45, MXCOHRTS ,2176,-111,1,1, WEST
-106.5,45.5, MXCOHRTS ,2157,-111,1,1, WEST
-106,32.5, MXCOHRTS ,2599,-111,1,1, WEST
-106,33, MXCOHRTS ,2585,-111,1,1, WEST
-106,35.5, MXCOHRTS ,2508,-111,1,1, WEST
-106,38, MXCOHRTS ,2427,-111,1,1, WEST
-106,38.5, MXCOHRTS ,2410,-111,1,1, WEST
-106,40, MXCOHRTS ,2359,-111,1,1, WEST
-106,40.5, MXCOHRTS ,2341,-111,1,1, WEST
-106,42, MXCOHRTS ,2288,-111,1,1, WEST
-106,45, MXCOHRTS ,2176,-111,1,1, WEST
-105.5,35.5, MXCOHRTS ,2508,-111,1,1, WEST
-105.5,36, MXCOHRTS ,2492,-111,1,1, WEST
-105.5,36.5, MXCOHRTS ,2476,-111,1,1, WEST
-105.5,37, MXCOHRTS ,2460,-111,1,1, WEST
-105.5,37.5, MXCOHRTS ,2444,-111,1,1, WEST
-105.5,38, MXCOHRTS ,2427,-111,1,1, WEST
-105.5,38.5, MXCOHRTS ,2410,-111,1,1, WEST
-105.5,39, MXCOHRTS ,2393,-111,1,1, WEST
-105.5,41, MXCOHRTS ,2324,-111,1,1, WEST
-105,32, MXCOHRTS ,2614,-111,1,1, WEST
-105,36.5, MXCOHRTS ,2476,-111,1,1, WEST
-105,44, MXCOHRTS ,2214,-111,1,1, WEST
-105,44.5, MXCOHRTS ,2195,-111,1,1, WEST
